event_date,country_id,network_id,client_id,value_usd
2022-07-09,109,60,174,3.457000
2022-07-09,109,60,189,1.403000
2022-07-09,109,60,256,0.446000
2022-07-09,213,60,189,0.300000
2022-07-10,1,10,94,19.500000
2022-07-10,1,10,95,1.000000
2022-07-10,1,10,104,11.500000
2022-07-10,1,10,121,1.400000
2022-07-10,1,60,71,44.129000
2022-07-10,1,60,73,0.540000
2022-07-10,1,60,94,99.033003
2022-07-10,1,60,95,6.000000
2022-07-10,1,60,97,0.632000
2022-07-10,1,60,104,0.624000
2022-07-10,1,60,121,83.795998
2022-07-10,1,60,122,1.200000
2022-07-10,1,60,174,303.797993
2022-07-10,1,60,189,1.884000
2022-07-10,1,60,256,4.714000
2022-07-10,1,60,302,50.500000
2022-07-10,109,10,73,0.510000
2022-07-10,109,10,94,0.240000
2022-07-10,109,10,97,0.920000
2022-07-10,109,10,104,0.640000
2022-07-10,109,10,121,0.640000
2022-07-10,109,10,174,0.280000
2022-07-10,109,10,275,5.330000
2022-07-10,109,60,71,1.200000
2022-07-10,109,60,94,0.518000
2022-07-10,109,60,95,1.920000
2022-07-10,109,60,97,0.507000
2022-07-10,109,60,121,4.513000
2022-07-10,109,60,154,0.260000
2022-07-10,109,60,174,5.051000
2022-07-10,109,60,256,0.669000
2022-07-11,1,10,71,0.730000
2022-07-11,1,10,73,1.140000
2022-07-11,1,10,94,11.700000
2022-07-11,1,10,95,6.000000
2022-07-11,1,10,97,0.610000
2022-07-11,1,10,104,10.350000
2022-07-11,1,10,121,4.200000
2022-07-11,1,10,174,2.600000
2022-07-11,1,10,189,0.600000
2022-07-11,1,60,71,14.732000
2022-07-11,1,60,73,0.540000
2022-07-11,1,60,94,106.540004
2022-07-11,1,60,97,0.740000
2022-07-11,1,60,104,3.294000
2022-07-11,1,60,121,81.608998
2022-07-11,1,60,174,323.699993
2022-07-11,1,60,189,3.652000
2022-07-11,1,60,302,27.900000
2022-07-11,109,10,73,0.340000
2022-07-11,109,10,94,0.720000
2022-07-11,109,10,97,1.380000
2022-07-11,109,10,104,0.320000
2022-07-11,109,10,121,1.280000
2022-07-11,109,10,174,1.560000
2022-07-11,109,10,256,0.100000
2022-07-11,109,10,275,4.290000
2022-07-11,109,10,302,0.100000
2022-07-11,109,60,71,0.900000
2022-07-11,109,60,94,0.174000
2022-07-11,109,60,95,0.720000
2022-07-11,109,60,97,0.507000
2022-07-11,109,60,121,9.502000
2022-07-11,109,60,174,4.284000
2022-07-11,109,60,256,1.115000
2022-07-12,1,10,71,1.460000
2022-07-12,1,10,94,19.500000
2022-07-12,1,10,95,2.000000
2022-07-12,1,10,104,8.500000
2022-07-12,1,10,121,3.600000
2022-07-12,1,10,122,0.150000
2022-07-12,1,10,154,1.600000
2022-07-12,1,10,174,1.300000
2022-07-12,1,10,189,1.800000
2022-07-12,1,60,71,13.742000
2022-07-12,1,60,94,65.181002
2022-07-12,1,60,95,1.500000
2022-07-12,1,60,97,0.740000
2022-07-12,1,60,104,1.248000
2022-07-12,1,60,121,70.166999
2022-07-12,1,60,154,2.094000
2022-07-12,1,60,174,311.302993
2022-07-12,1,60,184,2.568000
2022-07-12,1,60,256,4.714000
2022-07-12,1,60,302,33.300000
2022-07-12,17,10,104,1.000000
2022-07-12,17,60,71,0.300000
2022-07-12,109,10,73,0.680000
2022-07-12,109,10,97,1.380000
2022-07-12,109,10,104,0.160000
2022-07-12,109,10,121,0.320000
2022-07-12,109,10,174,0.560000
2022-07-12,109,10,256,0.100000
2022-07-12,109,10,275,4.680000
2022-07-12,109,10,302,0.200000
2022-07-12,109,60,73,0.100000
2022-07-12,109,60,94,0.770000
2022-07-12,109,60,95,1.440000
2022-07-12,109,60,121,6.123000
2022-07-12,109,60,154,0.260000
2022-07-12,109,60,174,2.729000
2022-07-12,109,60,189,1.415000
2022-07-12,109,60,256,2.007000
2022-07-13,1,10,71,0.730000
2022-07-13,1,10,73,0.570000
2022-07-13,1,10,94,33.929999
2022-07-13,1,10,95,3.000000
2022-07-13,1,10,97,0.610000
2022-07-13,1,10,104,6.200000
2022-07-13,1,10,121,5.400000
2022-07-13,1,10,189,0.600000
2022-07-13,1,60,73,0.540000
2022-07-13,1,60,94,54.613002
2022-07-13,1,60,95,1.500000
2022-07-13,1,60,97,0.740000
